geoid,baseline_distance,raw_distance,change_distance
245100401001059,190.4,2508.6,2318.2
245100401001060,262.4,2552.2,2289.7999999999997
245100401001061,99.1,2599.7,2500.6
245100401001062,134.8,2641.1,2506.2999999999997
245100401001063,189.8,2642.3,2452.5
245100401001064,433.3,2454.0,2020.7
245100401001065,314.6,2412.9,2098.3
245100401001066,730.8,2845.0,2114.2
245100401001067,653.5,2767.7,2114.2
245100401001068,903.6,3027.0,2123.4
245100401001069,858.2,2981.6,2123.3999999999996
245100401001070,921.5,3044.9,2123.4
245100401001071,932.8,3056.2,2123.3999999999996
245100401001072,1007.8,3096.2,2088.3999999999996
245100401001073,1010.0,3135.0,2125.0
245100401001074,977.2,2850.1,1872.8999999999999
245100401001075,1061.3,3041.3,1980.0000000000002
245100401001076,1182.2,2935.0,1752.8
245100401001077,701.0,2408.0,1707.0
245100401001078,663.9,2418.4,1754.5
245100401001079,538.0,2436.8,1898.8000000000002
245100401001080,539.9,2423.4,1883.5
245100401001081,551.1,2294.3,1743.2000000000003
245100401001082,589.9,2327.2,1737.2999999999997
245100401001083,645.6,2266.6,1621.0
245100401001084,692.6,2188.6,1496.0
245100401001085,813.1,2152.6,1339.5
245100401001086,839.0,2126.7,1287.6999999999998
245100401001087,872.2,2081.0,1208.8
245100401001088,1005.1,2022.0,1016.9
245100401001089,922.9,2058.9,1136.0
245100401001090,773.8,2191.9,1418.1000000000001
245100401001091,723.4,2235.9,1512.5
245100401001092,678.4,2278.3,1599.9
245100401001093,606.3,2360.6,1754.3
245100401001094,659.4,2306.6,1647.1999999999998
245100401001095,722.6,2236.6,1514.0
245100401001096,792.9,2186.3,1393.4
245100401001097,994.2,1957.7,963.5
245100401001098,1034.0,1871.4,837.4000000000001
245100401001099,1060.4,1912.0,851.5999999999999
245100401001100,957.6,1767.3,809.6999999999999
245100401001101,852.5,1662.2,809.7
245100401001102,750.5,1560.2,809.7
245100401001103,491.3,2472.0,1980.7
245100401001104,393.3,2494.0,2100.7
245100401001105,221.7,2530.6,2308.9
245100401001106,1109.9,1931.3,821.3999999999999
245100401001107,970.1,1779.9,809.8000000000001
245100401001108,834.6,2593.3,1758.7000000000003
245100401001109,863.1,2731.0,1867.9
245100401002000,387.5,2567.2,2179.7
245100401002001,473.8,2759.8,2286.0
245100401002002,540.3,2713.9,2173.6000000000004
245100401002003,569.2,2800.4,2231.2
245100401002004,624.6,2948.6,2324.0
245100401002005,665.4,2959.3,2293.9
245100401002006,730.3,2887.9,2157.6000000000004
245100401002007,875.2,2921.4,2046.2
245100401002008,716.8,3075.9,2359.1000000000004
245100401002009,652.3,3028.0,2375.7
245100401002010,700.8,2922.6,2221.8
245100401002011,659.2,2903.1,2243.8999999999996
245100401002012,627.0,3023.5,2396.5
245100401002013,515.6,2966.0,2450.4
245100401002014,463.4,2913.2,2449.7999999999997
245100401002015,395.6,2899.2,2503.6
245100401002016,368.2,2798.5,2430.3
245100401002017,232.2,2690.4,2458.2000000000003
245100401002018,342.8,2610.5,2267.7
245100401002019,559.6,3064.6,2505.0
245100401002020,561.5,3065.4,2503.9
245100401002021,502.6,3078.4,2575.8
245100401002022,366.1,2956.3,2590.2000000000003
245100401002023,281.1,2896.1,2615.0
245100401002024,176.2,2808.9,2632.7000000000003
245100401002025,127.2,2759.8,2632.6000000000004
245100401002026,221.5,2817.5,2596.0
245100401002027,621.5,3121.5,2500.0
245100401002028,741.6,3187.3,2445.7000000000003
245100401002029,140.2,2772.8,2632.6000000000004
245100401002030,418.0,2895.9,2477.9
245100401002031,524.4,3002.4,2478.0
245100401002032,557.8,3025.6,2467.8
245100401002033,427.2,2895.1,2467.9
245100401002034,363.0,2794.2,2431.2
245100401002035,266.3,2847.2,2580.8999999999996
245100401002036,252.7,2679.4,2426.7000000000003
245100401002037,458.1,2858.4,2400.3
245100401002038,608.9,2908.3,2299.4
245100401002039,692.5,3093.2,2400.7
245100401002040,739.6,3104.3,2364.7000000000003
245100401002041,714.1,3130.9,2416.8
245100401002042,842.2,3141.6,2299.3999999999996
245100401002043,665.6,2964.9,2299.3
245100401002044,600.4,2899.7,2299.2999999999997
245100401002045,498.9,2798.3,2299.4
245100401002046,449.0,2748.4,2299.4
245100401002047,458.8,2695.9,2237.1
245100401002048,281.7,2551.4,2269.7000000000003
245100401002049,313.6,2540.8,2227.2000000000003
245100401002050,946.8,3115.0,2168.2
245100401002051,735.6,2859.0,2123.4
245100401002052,566.6,2804.6,2238.0
245100401002053,528.5,2694.5,2166.0
245100401002054,419.9,2814.4,2394.5
245100401002055,562.2,2735.8,2173.6000000000004
245100402001000,802.6,2922.8,2120.2000000000003
245100402001001,1034.5,3287.4,2252.9
245100402001002,1083.0,3429.5,2346.5
245100402001003,822.6,3146.5,2323.9
245100402001004,847.7,3049.5,2201.8
